,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.004,0.006,0.0,0.0
REPEN,0.0,0.0,0.0,0.0
DevNet,0.428,0.373,0.008,0.021
PReNet,0.876,0.863,0.13,0.181
FEAWAD,0.494,0.483,0.016,0.03
XGBOD,0.985,0.992,0.406,0.637
LR,0.057,0.084,0.001,0.001
NB,0.017,0.008,0.0,0.0
SVM,0.0,0.003,0.0,0.0
MLP,0.104,0.302,0.001,0.003
RF,0.363,0.472,0.005,0.011
LGB,0.916,0.965,0.228,0.384
XGB,0.891,0.928,0.132,0.282
CatB,1.0,1.0,0.998,1.0
ResNet,0.007,0.028,0.0,0.0
FTTransformer,0.718,0.868,0.012,0.12
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.008,0.037,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
