Domain,IForest,ECOD,DeepSVDD,DAGMM
"('Astronautics', 1, 0)",0.7913497344827093,0.726215430339036,0.6602272922431629,0.6951440412780678
"('Astronautics', 2, 0)",0.80944789867847,0.7351357593837351,0.6061427794409314,0.7816109798558196
"('Astronautics', 3, 0)",0.7853084968487818,0.7240711535174431,0.6170102297966146,0.757561922257858
"('Biology', 1, 0)",0.3753356605800215,0.4208288578589331,0.5202515216612962,0.4537235947010383
"('Biology', 2, 0)",0.3507205513784461,0.4208736126029359,0.4035535266738275,0.3874418188327962
"('Biology', 3, 0)",0.4065968492660222,0.471625492302184,0.4634353741496598,0.4373433583959899
"('Botany', 1, 0)",0.6612959974225919,0.6561126463846118,0.602650725324144,0.702474017494263
"('Botany', 2, 0)",0.6774746481877602,0.6647064513254868,0.3923018065114327,0.7295942833657033
"('Botany', 3, 0)",0.7076114758016088,0.6576459534142827,0.5010748926470237,0.5303719744609202
"('Chemistry', 1, 0)",1.0,0.9463161645354132,0.5878696702165565,0.6721168692347281
"('Chemistry', 2, 0)",1.0,0.94814875491481,0.3656618610747051,0.9103866317169068
"('Chemistry', 3, 0)",0.9938239835306228,0.9532047982897184,0.8089789777900946,0.1614078150362247
"('Document', 1, 0)",0.7516199329230724,0.7740897277177416,0.5940928168387561,0.7400707804717472
"('Document', 2, 0)",0.7191898580769585,0.7827573353832865,0.5771838208551268,0.700424928697523
"('Document', 3, 0)",0.7501657021413021,0.7717354294230871,0.5075196842758697,0.6863211111555453
"('Finance', 1, 0)",0.8618037908237288,0.8779469240128394,0.37732580074369937,0.7904806751013024
"('Finance', 2, 0)",0.8506587030729783,0.8860890940299777,0.7922726386185096,0.7727614268391431
"('Finance', 3, 0)",0.8391129588431592,0.8965438264738598,0.7402375,0.82855
"('Healthcare', 1, 0)",0.8408445706677113,0.8754869428636424,0.60567632622994,0.7526240896333413
"('Healthcare', 2, 0)",0.8309942101133032,0.8727852332542158,0.5781592888079174,0.6758748628896883
"('Healthcare', 3, 0)",0.8608276360790954,0.884692432166274,0.5484612163848512,0.6766194587251376
"('Image', 1, 0)",0.7129718882184402,0.6603270004738381,0.4645970746239193,0.5517851155774111
"('Image', 2, 0)",0.7060474485934256,0.6606550943103658,0.489901965948879,0.6269615053155472
"('Image', 3, 0)",0.6955798812433838,0.6534650421986508,0.5140244457326563,0.5280164793058323
"('Linguistics', 1, 0)",0.5937735112729015,0.5437746840442338,0.511889265367102,0.4411949724521599
"('Linguistics', 2, 0)",0.5842523718995725,0.5324688283753268,0.5182659026606331,0.44838933961674743
"('Linguistics', 3, 0)",0.6358239394507368,0.5778788122205265,0.4914093947751269,0.536181754893298
"('Network', 1, 0)",0.8424181887366818,0.8925513698630138,0.7047659817351598,0.3520262557077626
"('Network', 2, 0)",0.7606129633464486,0.8439117829778422,0.8501242493269827,0.4852453924207911
"('Network', 3, 0)",0.694657278939739,0.831176226962104,0.7112756264236902,0.596655622282046
"('Physical', 1, 0)",0.6355693749734396,0.5202885746983402,0.5834374672256921,0.5578346000252672
"('Physical', 2, 0)",0.6155295717131306,0.5340504550127291,0.5438390867353994,0.4835944608646499
"('Physical', 3, 0)",0.6613516324910076,0.5403019720779051,0.5342493433825173,0.5316477858616633
"('Physics', 1, 0)",0.771329175681982,0.6331509057740443,0.6267023036782486,0.6007381952399135
"('Physics', 2, 0)",0.7434135166093929,0.6237749777268677,0.5457978023842858,0.5071486148232998
"('Physics', 3, 0)",0.762717831367717,0.6380478788945608,0.5478788945608168,0.5892888575954938
"('Sociology', 1, 0)",0.6776269930124684,0.7539600214568416,0.4275609350822104,0.6363083886461974
"('Sociology', 2, 0)",0.6544227300477301,0.7522602557698712,0.36006063914717756,0.644540101992025
"('Sociology', 3, 0)",0.6988191686175533,0.7895552915262012,0.4462505509276845,0.6965066983394572
"('Web', 1, 0)",0.9977628635346756,0.9731543624161074,0.9955257270693512,0.9955257270693512
"('Web', 2, 0)",0.9955456570155902,0.9866369710467706,1.0,0.9955456570155904
"('Web', 3, 0)",0.9988851727982162,0.9832775919732442,0.9933110367892976,0.9933110367892978
